CITY,STATE,AREA,IDHM,IBGE_RES_POP,IBGE_POP
Nova Lima,MG,429,0.813,80998,76049
Belo Horizonte,MG,331.4,0.81,2375151,2263631
Uberlândia,MG,NaN,0.789,604013,580561
Itajubá,MG,294.84,0.787,90658,80074
Lavras,MG,564.74,0.782,92200,87422
Itaú De Minas,MG,153.42,0.78,14945,14527
Poços De Caldas,MG,546.96,0.779,152435,148198
Juiz De Fora,MG,NaN,0.778,516247,499216
Varginha,MG,395.4,0.778,123081,118734
Lagoa Santa,MG,229.41,0.777,52520,49199
Viçosa,MG,299.42,0.775,72220,67078
Pouso Alegre,MG,542.8,0.774,130615,118760
Araguari,MG,NaN,0.773,109801,101933
Araxá,MG,NaN,0.772,93672,88054
Uberaba,MG,NaN,0.772,295988,285743
Ipatinga,MG,164.88,0.77,239468,235407
Montes Claros,MG,NaN,0.77,361915,338940
Timóteo,MG,144.38,0.77,81243,78539
Barbacena,MG,759.19,0.769,126284,114563
Patos De Minas,MG,NaN,0.765,138710,124101
Divinópolis,MG,708.12,0.764,213016,190832
Ouro Branco,MG,258.73,0.764,35268,31547
Alfenas,MG,850.45,0.76,73774,68964
Conselheiro Lafaiete,MG,370.25,0.76,116512,110658
Contagem,MG,195.05,0.76,603442,595593
Itabira,MG,NaN,0.76,109783,101931
Passos,MG,NaN,0.76,106290,100405
Sete Lagoas,MG,536.64,0.76,214152,208184
São Lourenço,MG,58.02,0.759,41657,40784
Itaúna,MG,495.77,0.758,85463,79872
João Monlevade,MG,99.16,0.758,73610,73080
São João Del Rei,MG,NaN,0.758,84469,79654
Pedro Leopoldo,MG,292.95,0.757,58740,55232
Coronel Fabriciano,MG,221.25,0.755,103694,99429
Formiga,MG,NaN,0.755,65128,58961
Congonhas,MG,304.07,0.753,48519,47032
Três Marias,MG,NaN,0.752,28318,26773
Arcos,MG,509.87,0.75,36597,33752
Betim,MG,343.86,0.75,378089,372678
Bom Despacho,MG,NaN,0.75,45624,42068
Cambuí,MG,244.57,0.75,26488,22241
Cataguases,MG,491.77,0.75,69757,66352
Guaxupé,MG,286.4,0.75,49430,46069
Brumadinho,MG,639.43,0.747,33973,28129
Confins,MG,42.36,0.747,5936,5396
Iturama,MG,NaN,0.747,34456,32224
Caxambu,MG,100.48,0.743,21705,21077
Mariana,MG,NaN,0.742,54219,47999
Vazante,MG,NaN,0.742,19723,16094
Bambuí,MG,NaN,0.741,22734,19119
Cachoeira Da Prata,MG,61.38,0.741,3654,3528
Carneirinho,MG,NaN,0.741,9471,6936
Ouro Preto,MG,NaN,0.741,70281,61519
Santos Dumont,MG,637.37,0.741,46284,41193
Bicas,MG,140.08,0.74,13653,12894
Delfinópolis,MG,NaN,0.74,6830,4810
Itanhandu,MG,143.36,0.74,14175,12009
Ituiutaba,MG,NaN,0.74,97171,92119
Muzambinho,MG,409.95,0.74,20430,15620
