,name_x,cases,IDHM,IBGE_POP
0,Abadia dos Dourados,101,0.69,4154
1,Abaeté,76,0.698,18464
2,Abre Campo,114,0.654,7101
3,Acaiaca,49,0.63,2550
4,Açucena,101,0.61,4790
5,Água Boa,59,0.58,6987
6,Água Comprida,23,0.675,1499
7,Aguanil,97,0.66,2296
8,Águas Formosas,328,0.645,14230
9,Águas Vermelhas,79,0.601,8932
10,Aimorés,362,0.684,19057
11,Aiuruoca,19,0.67,3042
12,Alagoa,28,0.649,1099
13,Albertina,50,0.67,1998
14,Além Paraíba,512,0.726,31942
15,Alfenas,1963,0.76,68964
16,Alfredo Vasconcelos,17,0.675,4031
17,Almenara,874,0.642,31551
18,Alpercata,193,0.65,5617
19,Alpinópolis,130,0.725,14884
20,Alterosa,27,0.67,9956
21,Alto Caparaó,21,0.66,3915
22,Alto Rio Doce,74,0.62,4991
23,Alvarenga,136,0.59,2109
24,Alvinópolis,72,0.68,11344
25,Alvorada de Minas,57,0.57,1441
26,Amparo do Serra,12,0.64,2623
27,Andradas,483,0.73,27784
28,Cachoeira de Pajeú,209,0.578,4460
29,Andrelândia,70,0.7,9735
30,Angelândia,18,0.597,4036
31,Antônio Carlos,75,0.68,7825
32,Antônio Dias,117,0.645,4662
33,Antônio Prado de Minas,13,0.684,1003
34,Araçaí,5,0.695,1783
35,Aracitaba,3,0.66,1640
36,Araçuaí,108,0.66,23201
37,Araguari,4418,0.773,101933
38,Arantina,20,0.7,2633
39,Araponga,1,0.536,3022
40,Araporã,895,0.708,5848
41,Arapuá,35,0.72,2074
42,Araújos,77,0.698,6751
43,Araxá,2399,0.772,88054
44,Arceburgo,85,0.68,8131
45,Arcos,507,0.75,33752
46,Areado,24,0.727,11478
47,Argirita,25,0.643,2192
48,Aricanduva,1,0.58,1684
49,Arinos,122,0.66,10806
50,Astolfo Dutra,166,0.69,11854
51,Ataléia,166,0.588,7176
52,Augusto de Lima,39,0.66,2827
53,Baependi,146,0.68,13077
54,Baldim,68,0.67,5023
55,Bambuí,69,0.741,19119
56,Bandeira,198,0.599,1789
57,Bandeira do Sul,45,0.69,4824
58,Barão de Cocais,756,0.722,25126
59,Barão de Monte Alto,65,0.649,4516
60,Barbacena,1071,0.769,114563
61,Barra Longa,88,0.624,2304
62,Barroso,190,0.73,18874
63,Bela Vista de Minas,86,0.674,9377
64,Belmiro Braga,22,0.66,1316
65,Belo Horizonte,48339,0.81,2263631
66,Belo Oriente,721,0.69,19607
67,Belo Vale,95,0.655,3292
68,Berilo,6,0.628,3883
69,Bertópolis,79,0.594,2721
70,Berizal,8,0.604,2475
71,Betim,7290,0.75,372678
72,Bias Fortes,16,0.62,1497
73,Bicas,69,0.74,12894
74,Biquinhas,28,0.688,1635
75,Boa Esperança,390,0.7,32047
76,Bocaina de Minas,15,0.645,2396
77,Bocaiúva,451,0.7,36443
78,Bom Despacho,748,0.75,42068
79,Bom Jardim de Minas,14,0.67,5540
80,Bom Jesus da Penha,98,0.735,2794
81,Bom Jesus do Amparo,37,0.68,2512
82,Bom Jesus do Galho,136,0.623,9975
83,Bom Repouso,88,0.653,5652
84,Bom Sucesso,41,0.69,14116
85,Bonfim,70,0.637,3305
86,Bonfinópolis de Minas,150,0.68,4089
87,Bonito de Minas,6,0.537,2201
88,Borda da Mata,379,0.73,13622
89,Botelhos,99,0.7,11255
90,Botumirim,3,0.602,3470
91,Brasilândia de Minas,335,0.674,12341
92,Brasília de Minas,199,0.66,20565
93,Brás Pires,8,0.625,2202
94,Braúnas,17,0.624,1593
95,Brazópolis,272,0.69,7777
96,Brumadinho,1214,0.747,28129
97,Bueno Brandão,82,0.66,5621
98,Buenópolis,91,0.669,7683
99,Bugre,69,0.627,1529
100,Buritis,406,0.672,15794
101,Buritizeiro,306,0.624,23526
102,Cabeceira Grande,47,0.648,5283
103,Cabo Verde,50,0.674,7582
104,Cachoeira da Prata,50,0.741,3528
105,Cachoeira de Minas,216,0.706,7000
106,Cachoeira Dourada,19,0.726,2219
107,Caetanópolis,118,0.706,8351
108,Caeté,487,0.728,35191
109,Caiana,17,0.633,2495
110,Cajuri,64,0.617,2093
111,Caldas,123,0.687,7675
112,Camacho,3,0.69,1458
113,Camanducaia,590,0.69,15290
114,Cambuí,434,0.75,22241
115,Cambuquira,39,0.7,10352
116,Campanário,21,0.616,2647
117,Campanha,209,0.71,13202
118,Campestre,209,0.698,11392
119,Campina Verde,154,0.7,14307
120,Campo Azul,30,0.621,1540
121,Campo Belo,1255,0.711,47527
122,Campo do Meio,147,0.68,9130
123,Campo Florido,224,0.706,4412
124,Campos Altos,147,0.7,12861
125,Campos Gerais,211,0.682,19056
126,Canaã,1,0.649,1846
127,Canápolis,423,0.722,10029
128,Cana Verde,94,0.65,4040
129,Candeias,111,0.68,10112
130,Cantagalo,15,0.631,2477
131,Caparaó,45,0.624,2005
132,Capela Nova,14,0.648,2125
133,Capelinha,231,0.653,24567
134,Capetinga,60,0.675,5847
135,Capim Branco,80,0.695,8046
136,Capinópolis,570,0.723,14194
137,Capitão Andrade,112,0.624,3569
138,Capitão Enéas,155,0.639,11503
139,Capitólio,84,0.71,5002
140,Caputira,83,0.615,3778
141,Caraí,150,0.56,8799
142,Caranaíba,7,0.634,1176
143,Carandaí,145,0.7,18164
144,Carangola,668,0.695,26105
145,Caratinga,1860,0.706,67042
146,Carbonita,7,0.638,6710
147,Careaçu,162,0.68,4658
148,Carlos Chagas,387,0.648,12898
149,Carmésia,11,0.65,1303
150,Carmo da Cachoeira,57,0.655,8903
151,Carmo da Mata,31,0.69,8185
152,Carmo de Minas,97,0.682,10143
153,Carmo do Cajuru,123,0.71,17689
154,Carmo do Paranaíba,314,0.705,24601
155,Carmo do Rio Claro,84,0.733,14245
156,Carmópolis de Minas,305,0.7,11739
157,Carneirinho,161,0.741,6936
158,Carrancas,30,0.725,2581
159,Carvalhópolis,28,0.72,2434
160,Carvalhos,30,0.65,2414
161,Casa Grande,2,0.652,1122
162,Cascalho Rico,26,0.721,1794
163,Cássia,201,0.7,13945
164,Conceição da Barra de Minas,54,0.685,2765
165,Cataguases,780,0.75,66352
166,Catas Altas,70,0.684,4233
167,Catas Altas da Noruega,18,0.6,1428
168,Catuji,88,0.54,1666
169,Catuti,11,0.621,2974
